Focus; value:;50913; at; position;-475; of;1000
Focus; value:;51051; at; position;-450; of;1000
Focus; value:;51009; at; position;-425; of;1000
Focus; value:;50853; at; position;-400; of;1000
Focus; value:;50907; at; position;-375; of;1000
Focus; value:;51099; at; position;-350; of;1000
Focus; value:;50932; at; position;-325; of;1000
Focus; value:;50906; at; position;-300; of;1000
Focus; value:;50887; at; position;-275; of;1000
Focus; value:;51185; at; position;-250; of;1000
Focus; value:;51267; at; position;-225; of;1000
Focus; value:;51063; at; position;-200; of;1000
Focus; value:;50880; at; position;-175; of;1000
Focus; value:;51038; at; position;-150; of;1000
Focus; value:;51045; at; position;-125; of;1000
Focus; value:;51109; at; position;-100; of;1000
Focus; value:;51337; at; position;-75; of;1000
Focus; value:;51142; at; position;-50; of;1000
Focus; value:;51559; at; position;-25; of;1000
Focus; value:;52229; at; position;0; of;1000
Focus; value:;53464; at; position;25; of;1000
Focus; value:;55756; at; position;50; of;1000
Focus; value:;56272; at; position;75; of;1000
Focus; value:;55492; at; position;100; of;1000
Focus; value:;54048; at; position;125; of;1000
Focus; value:;52021; at; position;150; of;1000
Focus; value:;51488; at; position;175; of;1000
Focus; value:;51211; at; position;200; of;1000
Focus; value:;51133; at; position;225; of;1000
Focus; value:;51171; at; position;250; of;1000
Focus; value:;51210; at; position;275; of;1000
Focus; value:;51178; at; position;300; of;1000
Focus; value:;51005; at; position;325; of;1000
Focus; value:;50859; at; position;350; of;1000
Focus; value:;51029; at; position;375; of;1000
Focus; value:;50932; at; position;400; of;1000
Focus; value:;50785; at; position;425; of;1000
Focus; value:;51023; at; position;450; of;1000
Focus; value:;50956; at; position;475; of;1000
Focus; value:;50727; at; position;500; of;1000
